,train,validation,test
00s,3018,187,392
60s,4604,270,639
70s,4145,230,492
80s,7865,461,1032
90s,4462,269,547
acoustic,4653,288,572
alternative,14906,901,1686
alternative rock,7680,431,784
ambient,5274,345,855
beautiful,2987,185,331
blues,9151,521,995
catchy,1076,62,131
chill,2086,120,298
chillout,5470,327,757
classic rock,8372,484,686
country,8215,479,1165
dance,8627,500,1456
easy listening,1987,122,258
electro,3351,215,680
electronic,17082,1021,2605
electronica,4864,275,721
experimental,4787,271,747
female vocalist,1840,95,244
female vocalists,14937,896,1928
folk,8929,509,1266
funk,4409,282,688
guitar,2790,165,351
happy,711,30,94
hard rock,6291,396,496
heavy metal,3596,200,519
hip-hop,7541,445,1230
house,2908,182,435
indie,19197,1135,2709
indie pop,3193,204,429
indie rock,7694,447,988
instrumental,6885,420,1079
jazz,13788,819,2565
male vocalists,2510,151,359
mellow,3019,190,407
metal,6426,338,1013
oldies,5512,322,981
party,1015,70,168
pop,21726,1281,3041
progressive rock,4694,263,963
punk,8774,482,807
rnb,4191,226,616
rock,39652,2308,4232
sad,1116,57,145
sexy,1153,67,200
soul,10075,603,1354
